,characters,fa_list
30,K08311,"[<TN: Campylobacterales>, <TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: T06085>, <TN: T00925>, <TN: T00398>]"
31,K00684,"[<TN: Pseudomonadota>, <TN: T04021>, <TN: T06523>]"
32,K00943,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T06584>, <TN: T04182>, <TN: T07943>, <TN: T02133>]"
33,K10764,"[<TN: T06085>, <TN: T00398>, <TN: T05738>, <TN: T06554>, <TN: T05201>, <TN: T00447>, <TN: T06794>]"
34,K06195,"[<TN: Burkholderiales>, <TN: Gammaproteobacteria>]"
35,K00140,"[<TN: Burkholderiales>, <TN: Micrococcales>, <TN: T04453>, <TN: T06085>, <TN: T06554>, <TN: T02545>, <TN: T06794>]"
36,K07113,"[<TN: Gammaproteobacteria>, <TN: Mycobacteriales>, <TN: T06085>, <TN: T02545>]"
37,K00020,"[<TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Coriobacteriia>, <TN: Dorea>, <TN: T04453>, <TN: T06085>, <TN: T00925>, <TN: T00398>, <TN: T06584>, <TN: T06719>, <TN: T02545>, <TN: T07267>, <TN: T06794>]"
38,K02825,"[<TN: Burkholderiales>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Coriobacteriia>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>, <TN: T06554>, <TN: T06584>, <TN: T02545>]"
39,K10804,"[<TN: Pseudomonadota>, <TN: Lactobacillus>, <TN: T00964>, <TN: T04182>, <TN: T05201>, <TN: T00447>]"
40,K00208,"[<TN: Comamonadaceae>, <TN: Bacteroides>, <TN: Campylobacter>, <TN: Staphylococcus>, <TN: T08201>, <TN: T06085>, <TN: T00925>, <TN: T05738>, <TN: T06554>, <TN: T04115>, <TN: T02133>]"
41,K01572,[]
42,K07723,[<TN: Staphylococcus>]
43,K03118,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacteroides>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Coriobacteriia>, <TN: Staphylococcus>, <TN: T08201>, <TN: T04453>, <TN: T02545>, <TN: T02133>]"
44,K03579,"[<TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Corynebacterium>, <TN: T06085>, <TN: T02545>]"
